[0.00s -> 2.30s]  three, two, four.
[2177.28s -> 2180.12s]  reduction in after school clubs, activities and programs
[2180.12s -> 2182.84s]  for example theater, and music, et cetera,
[2182.84s -> 2186.48s]  and reducing or limiting student enrollment
[2186.48s -> 2188.22s]  in non mandatory programs.
[2189.48s -> 2191.56s]  And that includes the memos.
[2191.56s -> 2192.40s]  Thank you.
[2199.24s -> 2204.64s]  All right, next up we have Megan Ossomonti.
[2204.64s -> 2207.20s]  I know I'm probably not saying that right.
[2207.20s -> 2208.68s]  There you go.
[2208.68s -> 2209.52s]  Very good.
[2212.32s -> 2213.16s]  Megan?
[2215.56s -> 2216.76s]  Megan?
[2216.76s -> 2219.52s]  Hi, we're having a really hard time hearing you.
[2221.64s -> 2223.16s]  A, A, B, R, B play.
[2223.16s -> 2224.00s]  Excuse me.
[2234.40s -> 2235.80s]  Megan, I'm sorry.
[2235.80s -> 2238.12s]  You're not coming in clearly.
[2238.12s -> 2240.28s]  I'm not coming in clearly.
[2240.28s -> 2241.28s]  Okay.
[2243.28s -> 2244.12s]  Good closure.
[2247.44s -> 2248.28s]  Yeah.
[2254.16s -> 2256.72s]  We just, we don't have a good connection.
[2256.72s -> 2257.80s]  I don't know why.
[2259.28s -> 2260.28s]  Okay.
[2261.76s -> 2265.52s]  I also want to go and see if it's just me.
[2265.52s -> 2269.40s]  You know what, Megan, at the, at the bottom
[2269.40s -> 2272.32s]  where it says, do you see where it says group chat?
[2273.88s -> 2277.24s]  On the right hand side where the participants are,
[2278.32s -> 2282.80s]  you would want to just type what your message is
[2282.80s -> 2284.28s]  and want me to read it in for you.
[2284.28s -> 2287.80s]  I'd be happy to do that since we're not able to hear you.
[2289.08s -> 2290.08s]  Okay.
[2292.52s -> 2294.32s]  Just trying to give you an option.
[2295.28s -> 2296.28s]  Thank you.
[2300.80s -> 2303.52s]  Is that what you, would you want to try that?
[2303.52s -> 2305.00s]  Yeah, I give it all day though.
[2305.00s -> 2306.84s]  I don't know why it's not working, but.
[2306.84s -> 2311.12s]  Wait, now, now I just heard you a little bit better there.
[2313.80s -> 2315.60s]  Should I give it a go for it?
[2315.60s -> 2316.40s]  Yeah.
[2316.40s -> 2317.56s]  Why don't you go for it?
[2317.56s -> 2318.40s]  Is that okay, Bob?
[2319.24s -> 2321.64s]  Yeah, it was coming through pretty clearly at the end there.
[2321.64s -> 2322.64s]  Yeah.
[2322.64s -> 2324.04s]  Yeah, I can lie.
[2324.04s -> 2326.24s]  I feel like people are in here.
[2326.24s -> 2330.16s]  Um, so I think you're another district.
[2330.16s -> 2333.32s]  And I've received a full grader and a.
[2334.48s -> 2338.52s]  Do you spend one day, um, a seventh grader and a fourth grader?
[2338.52s -> 2341.72s]  Um, they are seeing what I believe in the making of the
[2342.16s -> 2346.84s]  education and I'd like the board to make sure that you keep any
[2346.84s -> 2350.44s]  budget cuts or any considerations far away from the classroom that
[2350.44s -> 2353.32s]  have to be building maintenance, things like that.
[2353.32s -> 2355.48s]  But it should stay away from the kids and the teachers.
[2357.52s -> 2360.32s]  Okay, Megan, I just want to make sure that I just heard what you said.
[2360.32s -> 2363.40s]  You're, you are in support of the school budget.
[2363.40s -> 2365.12s]  That's where your mind focuses.
[2365.48s -> 2366.48s]  Yeah.
[2366.48s -> 2367.08s]  Okay.
[2367.08s -> 2367.68s]  And I'm sorry.
[2367.68s -> 2369.76s]  Can you just tell me what your address is?
[2370.76s -> 2371.76s]  Edie.
[2373.76s -> 2375.76s]  Gracie playing.
[2375.76s -> 2376.76s]  Okay.
[2376.76s -> 2377.76s]  All right.
[2377.76s -> 2378.76s]  Eddie, okay.
[2378.76s -> 2379.76s]  Thank you.
[2379.76s -> 2381.76s]  Thank you.
[2381.76s -> 2382.76s]  Okay.
[2382.76s -> 2384.76s]  So.
[2384.76s -> 2386.76s]  Are you okay with that, Bob?
[2386.76s -> 2387.76s]  Yes.
[2387.76s -> 2388.76s]  Thank you.
[2388.76s -> 2391.76s]  We're going to go to Lisa Linda Salotti.
[2395.76s -> 2396.76s]  Linda.
[2396.76s -> 2397.76s]  Hi.
[2397.76s -> 2398.76s]  Thank you.
[2398.76s -> 2399.76s]  Thank you.
[2399.76s -> 2400.76s]  Thank you.
[2400.76s -> 2401.76s]  Thank you.
[2401.76s -> 2402.76s]  Thank you.
[2402.76s -> 2403.76s]  Thank you.
[2403.76s -> 2404.76s]  Thank you.
[2404.76s -> 2409.76s]  I would just like to say I'm speaking not only as a parent, but as a
[2409.76s -> 2412.76s]  member of the school community.
[2412.76s -> 2416.76s]  I teach at Johnson School.
[2416.76s -> 2422.76s]  And unfortunately, I totally understand how many people are struggling.
[2422.76s -> 2426.76s]  But unfortunately, the reality is.
[2426.76s -> 2430.76s]  The reality is that things are not going to be the same at Johnson
[2430.76s -> 2431.76s]  School next year.
[2431.76s -> 2435.76s]  We are going to be increasing by getting the third grade.
[2435.76s -> 2440.76s]  And to expect to keep the current services.
[2440.76s -> 2442.76s]  The same.
[2442.76s -> 2447.76s]  And have such a huge increase in the population.
[2447.76s -> 2450.76s]  And the students who have needs.
[2450.76s -> 2455.76s]  Coming to Johnson School next year, it is just impossible.
[2455.76s -> 2461.76s]  We are going to be able to do that without getting another administrator.
[2461.76s -> 2467.76s]  Our administrator right now is already overwhelmed with how much she has to do.
[2467.76s -> 2470.76s]  The class sizes day to day.
[2470.76s -> 2473.76s]  We have 28 kids in a classroom.
[2473.76s -> 2479.76s]  One student teacher who has a triad has up to almost 80 students.
[2479.76s -> 2484.76s]  And we really do pride ourselves on knowing our students.
[2484.76s -> 2491.76s]  And to do when you have 80 students, even 50 or more is a lot.
[2491.76s -> 2498.76s]  And we really do pride ourselves on helping every student get what he or she needs.
[2498.76s -> 2505.76s]  Very hard to do, especially going in behind the eight ball in the fall.
[2505.76s -> 2509.76s]  Because everyone's working really hard to try to help the kids now.
[2509.76s -> 2512.76s]  But as you've heard many times already.
[2512.76s -> 2518.76s]  And not the same as being present with them in person.
[2518.76s -> 2527.76s]  As it is over the past two years, specifically, we've seen such an increase in our school population.
[2527.76s -> 2533.76s]  Kids streaming in constantly throughout the school year into all of our schools.
[2533.76s -> 2536.76s]  All the building that's going on in town.
[2536.76s -> 2541.76s]  And the increase in how many school students are now attending in Bethel.
[2541.76s -> 2544.76s]  And it comes around us are decreasing.
[2544.76s -> 2545.76s]  We are not.
[2545.76s -> 2547.76s]  We are the complete opposite.
[2547.76s -> 2550.76s]  A lot of the population that's moving in.
[2550.76s -> 2555.76s]  They have special needs from in a lot of areas.
[2555.76s -> 2563.76s]  It concerns me greatly that it's going to be more than just those kids who are going to be struggling.
[2563.76s -> 2565.76s]  And we'll need the resources.
[2565.76s -> 2570.76s]  And it concerns me because already with 28 students in a class.
[2570.76s -> 2576.76s]  It's very hard for the teachers to meet the needs of every single student.
[2576.76s -> 2583.76s]  Though they work really hard to try.
[2583.76s -> 2594.76s]  I just feel like we cannot afford to lose any positions, especially the ones that are being requested for next year.
[2594.76s -> 2597.76s]  We really need those positions.
[2597.76s -> 2600.76s]  The job is to meet the needs of all of our students.
[2600.76s -> 2602.76s]  My question is how.
[2602.76s -> 2604.76s]  How do we do that?
[2604.76s -> 2606.76s]  If we reduce what we have.
[2606.76s -> 2607.76s]  How do we do that?
[2607.76s -> 2611.76s]  If we don't get what we need to address those kids.
[2611.76s -> 2614.76s]  I agree with the people who have already said.
[2614.76s -> 2618.76s]  Please keep it away from our kids.
[2618.76s -> 2621.76s]  No matter what's going on in society.
[2621.76s -> 2623.76s]  Our kids need us.
[2623.76s -> 2629.76s]  We want to make sure that we are there for what they need.
[2629.76s -> 2631.76s]  Right out of the gate.
[2631.76s -> 2638.76s]  Thank you.
[2638.76s -> 2640.76s]  Okay.
[2640.76s -> 2644.76s]  Next we have Mary LaCory.
[2644.76s -> 2647.76s]  Mary.
[2647.76s -> 2648.76s]  Okay.
[2648.76s -> 2649.76s]  Here you are.
[2650.76s -> 2652.76s]  I created this statement.
[2652.76s -> 2655.76s]  Mary, could you give me your address please?
[2655.76s -> 2658.76s]  Thank you.
[2658.76s -> 2664.76s]  I created this statement before COVID-19 turned our lives upside down.
[2664.76s -> 2667.76s]  I lived in Bethel for over 25 years.
[2667.76s -> 2670.76s]  I had two children graduate from the Bethel Public Schools.
[2670.76s -> 2674.76s]  I became a teacher in 2006 and taught in the district for almost 14 years.
[2674.76s -> 2678.76s]  Bethel was a different, better community than it was 15 years ago when I started teaching.
[2678.76s -> 2682.76s]  Diversity of all kinds makes us a more interesting and stronger community.
[2682.76s -> 2684.76s]  But it also comes with challenges.
[2684.76s -> 2687.76s]  Societal changes have led to less at home supervision.
[2687.76s -> 2692.76s]  Kids aren't spending time outside and families and neighborhoods don't know each other the way they use to.
[2692.76s -> 2695.76s]  Developments in technology can be beneficial in my classroom.
[2695.76s -> 2703.76s]  It also allows access to social media, violent video games and inappropriate content on various media that are affecting all of our children.
[2703.76s -> 2715.76s]  As a result, one of our most recent in-person faculty meeting was a workshop by the Women's Center to help us identify sexual harassment behavior by 9, 10, and 11 year olds.
[2715.76s -> 2728.76s]  The development last set survey of eight to 12th graders in the 2018-2019 survey is indicative of several concerning results, including students who have contemplated suicide nor anxious and depressed.
[2728.76s -> 2734.76s]  When shocking statistic is that only 16% of our students feel valued by our community.
[2734.76s -> 2737.76s]  This is our chance to change that.
[2737.76s -> 2740.76s]  One of the other side effects of Bethel's growth is class size.
[2740.76s -> 2744.76s]  When my kids were at Johnson, there were 22 students in their classes.
[2744.76s -> 2747.76s]  I currently have 27 kids in both of my classes.
[2747.76s -> 2751.76s]  I have to meet the needs of 54 individual students.
[2751.76s -> 2760.76s]  These students may be high achievers who need enrichment, English language learners, students with IEPs and 504s, free and reduced lunch, et cetera.
[2760.76s -> 2769.76s]  Bethel continues to implement a much more rigorous curriculum driven by Common Core Standards and GSS, et cetera, which continues to challenge our students and teachers.
[2769.76s -> 2774.76s]  The results of the developmental assets survey trickles down to 4th and 5th grade.
[2774.76s -> 2778.76s]  Social emotional and behavioral issues have increased significantly.
[2779.76s -> 2785.76s]  I have 5th graders who self-identify as having anxiety, depression and self-harm concerns.
[2785.76s -> 2793.76s]  I have participated in a 211 mobile crisis intervention with a student expressing suicidal ideations at 10 years old.
[2793.76s -> 2801.76s]  My major meeting this year was focused not on the students I was concerned about academically, but those with social emotional concerns that affect their academics.
[2801.76s -> 2810.76s]  It's very difficult for teachers to develop the type of interpersonal relationships that are required in our new society when we have 27 students in the classroom.
[2810.76s -> 2816.76s]  These increases in social emotional issues also lead to increases in classroom disruptions that affect the whole class.
[2816.76s -> 2820.76s]  Sometimes I need to address an issue immediately in the hallway impacting my instruction.
[2820.76s -> 2824.76s]  Sometimes PPS staff members call in to provide intervention services.
[2824.76s -> 2829.76s]  The last time we had this size enrollment, we had 15 more staff members in the district.
[2829.76s -> 2833.76s]  We must have more teachers to reduce class size at Johnson.
[2833.76s -> 2838.76s]  Our counselors, psychologists and social workers are overwhelmed.
[2838.76s -> 2841.76s]  Next year there will be three grades at Johnson and three grades at BMS.
[2841.76s -> 2847.76s]  BMS currently has three administrators and four secretaries, adding into a system principal at Johnson is a must.
[2847.76s -> 2863.76s]  Our school secretary located in the main office regularly has to deal with so many families and she's going to have 750 families that she's going to be the face of Johnson school and she needs to connect with those families.
[2863.76s -> 2867.76s]  So we must have an assistant principal at Johnson.
[2867.76s -> 2874.76s]  I implore you to follow the board of ed's recommendations and support the budget that is presented to ensure our future success as a district.
[2874.76s -> 2876.76s]  Thank you for your consideration.
[2876.76s -> 2879.76s]  Thank you.
[2879.76s -> 2882.76s]  Okay.
[2882.76s -> 2888.76s]  Next we have Nickerbocker.
[2888.76s -> 2890.76s]  Nope.
[2890.76s -> 2894.76s]  Oh, here we go. Sorry.
[2894.76s -> 2897.76s]  Thank you. Thank you. Good evening, good evening, everyone. Thank you for the opportunity.
[2897.76s -> 2903.76s]  I'm going to be brief. I have submitted a letter which you will find in the meeting materials that were posted online yesterday.
[2903.76s -> 2908.76s]  I just want to make a couple of comments and support first of the town side of the budget.
[2908.76s -> 2919.76s]  And I'm going to support both. I would like to see the budget that was previously voted on by the board of finance state intact and go to the public hearing, which will occur over the next few weeks.
[2919.76s -> 2926.76s]  And I well understand the fact that some people, some people are going to struggle through this crisis financially.
[2926.76s -> 2929.76s]  There's no doubt about that.
[2929.76s -> 2940.76s]  And I am all in favor of doing as much as we can to help those individuals through the different assistance programs that have been offered at different levels of government.
[2940.76s -> 2944.76s]  However, the town still has to pay its bills.
[2944.76s -> 2950.76s]  We've gone through three years in a row of having the town side of the budget be defeated on the first try.
[2950.76s -> 2956.76s]  And that has squeezed down farther and farther to the point where we have no place to cut.
[2956.76s -> 2959.76s]  And we are seeing substantial increases in work.
[2959.76s -> 2964.76s]  Let's give you a very brief idea over the past four years in building permits.
[2964.76s -> 2976.76s]  We've seen a 42% change in increase land use applications, 60% increase health applications and inspections 99% increase just since last year.
[2976.76s -> 2984.76s]  This is almost double higher marshal permits 21% police arrests up 44% in the last decade.
[2984.76s -> 2990.76s]  Now, none of those departments have had full time additional full time help in over a decade.
[2990.76s -> 2999.76s]  They get by with getting some part time help to do with a little bit of computer input that that can't happen any longer our town is growing.
[2999.76s -> 3009.76s]  And the workload is going up and every one of those departments that I mentioned is statutorily required to do their work in a certain amount of time.
[3009.76s -> 3012.76s]  They can't just say we'll get to it when we get to it.
[3012.76s -> 3015.76s]  And there's no such thing as doing more with less.
[3015.76s -> 3024.76s]  These are all jobs that require hours of field time inspections hours of pouring over engineering drawings and blueprints.
[3024.76s -> 3028.76s]  And there's no way to cut corners and they are up against the wall.
[3028.76s -> 3039.76s]  Last summer our building department was so far behind in inputting the building permits that they were issuing because remember they have to issue the permits within a certain amount of time.
[3039.76s -> 3042.76s]  They were three months behind in doing that.
[3042.76s -> 3045.76s]  And this is an untenable situation.
[3045.76s -> 3053.76s]  Now, the other factor is history has shown that in a crisis like this, the town's expenses go up not down.
[3053.76s -> 3062.76s]  Already we have spent thousands of dollars complying with the different requirements and responding to the COVID-19 crisis.
[3062.76s -> 3064.76s]  We've had to shift staff around.
[3064.76s -> 3071.76s]  We've had to buy new equipment to equip people to work remotely so they can we can comply with the governor's orders.
[3071.76s -> 3079.76s]  So at this point in time, all of our staff is working full time because none of the other things that they do have gone away.
[3079.76s -> 3087.76s]  I got an email the other day from a resident who said, well, now that everything is shut down, how much of the tax increase am I going to get?
[3087.76s -> 3100.76s]  The fact is we are seeing the same volume if not more already and there's already pent up demand, especially in the building trades and in land use that we're going to see as soon as the restrictions start to be lifted.
[3100.76s -> 3106.76s]  There is no savings from that and we will have higher expenses next year.
[3106.76s -> 3115.76s]  The health department is just one example has has that hundreds and hundreds of extra hours and have brought in extra people to respond to this.
[3115.76s -> 3117.76s]  We put in the COVID crisis line.
[3117.76s -> 3131.76s]  We've she's had to hire part-time people to help answer phones and Laura herself is working has been working seven days a week for the last six weeks as this thing started doing inspections and keep in mind all the normal stuff as I've said.
[3131.76s -> 3142.76s]  There goes on she still has to respond to complaints of dirty apartments, which is a health department issue she still has to inspect restaurants.
[3142.76s -> 3155.76s]  None of that goes away so I am asking this board of finance to please go forward the well crafted budget that you put together many weeks ago it was a height budget.
[3155.76s -> 3171.76s]  We had no frills there's no turf fields there's no extras it just covers the bill and that bill includes the debt load for fixing our schools the utility bills the payroll for our police department to keep people safe.
[3171.76s -> 3180.76s]  Those are the things that are in this budget as I've said many times our budget is not a political document it is a practical document.
[3180.76s -> 3187.76s]  That's what we need to pay the bills and provide the services that every one of you on this call expects to have from your town.
[3187.76s -> 3197.76s]  Now let me say a little bit about the school budget I'm in full support of that budget as well because I know from what my own grandchildren are going through with distance learning.
[3197.76s -> 3208.76s]  There will be many many more kids who are going to need extra help hopefully this summer we can put together a doctor cover can put together a summer school program that can help the kids who need extra help.
[3208.76s -> 3215.76s]  And then moving back in the fall there will be many more catch up days that our teachers are going to have to do.
[3215.76s -> 3229.76s]  So I implore you let's focus on the tax relief that can be offered the monetary relief that is offered to help taxpayers that don't got the pound's ability to provide the services that we need.
[3229.76s -> 3237.76s]  Thank you very much.
[3237.76s -> 3245.76s]  All right, so we have see shaffer.
[3245.76s -> 3256.76s]  Just give me your name and address.
[3256.76s -> 3266.76s]  Thank you very much.
[3266.76s -> 3274.76s]  Thank you very much.
[3274.76s -> 3281.76s]  Thank you very much.
[3281.76s -> 3298.76s]  I would like to ask that no cut image is the board of education budget because I'm seeing things now as an educator and the answer no circumstances.
[3298.76s -> 3307.76s]  I would not want any cuts to the budget because we have additional needs that we identify.
[3307.76s -> 3335.76s]  But now I'm seeing with my own students they're going to be delayed and they are going to need not just extra academic intervention when they get back in September.
[3335.76s -> 3353.76s]  But also emotional support and a lot of extra community and you can't do that with that.
[3353.76s -> 3373.76s]  So I feel that the budget we put in place for was addressing a lot of the increased needs and a lot of the increased population needs that we already had.
[3373.76s -> 3398.76s]  We just compounded this terrible thing that we're all going through and the kids are traumatized and they're feeling it and they're going to need a lot when we get back to school together.
[3398.76s -> 3409.76s]  I guess what I really want to highlight is that I know that people are struggling financially.
[3409.76s -> 3419.76s]  I definitely understand that my heart really goes back to everybody.
[3419.76s -> 3438.76s]  But there is a human cost. There is a cost to our children and our community if we still support that in the way that they need to be supported.
[3438.76s -> 3466.76s]  The teachers and the administrators and all of our professionals and people that work with our kids, you don't want either hand so that they can't provide the services that they need.
[3466.76s -> 3477.76s]  I like to say as you know, that all the questions, you know, can you wise and sound foolish.
[3477.76s -> 3487.76s]  If you cut now, the end result will be something that will continue on for not just this year.
[3487.76s -> 3492.76s]  It's harder and harder to catch it. The earlier you catch it, the easier it is to mitigate it.
[3492.76s -> 3502.76s]  And I think that we would be giving our students and our families and our community as a whole to cut this budget beyond what it is right now.
[3502.76s -> 3511.76s]  This is a budget that would serve the needs of our kids and it really can have any more cuts with that I'm having over the negative market. Thank you.
[3511.76s -> 3513.76s]  Thank you.
[3513.76s -> 3517.76s]  Okay, next we had Jen Lawler.
[3517.76s -> 3520.76s]  Thank you.
[3520.76s -> 3522.76s]  Here's what Dr.
[3522.76s -> 3525.76s]  Can you guys hear me?
[3525.76s -> 3527.76s]  Hi, Jen.
[3527.76s -> 3528.76s]  Yes.
[3528.76s -> 3529.76s]  You hear me, Dion?
[3529.76s -> 3530.76s]  Yes.
[3530.76s -> 3531.76s]  Okay.
[3531.76s -> 3534.76s]  Jen Lawler, 22 Beth Page Drive.
[3534.76s -> 3536.76s]  Jen, do you have your TD on?
[3536.76s -> 3539.76s]  I do not. I'm actually outside. It's not me.
[3539.76s -> 3540.76s]  Okay.
[3540.76s -> 3544.76s]  I'm sorry. Would you repeat your address or 22 Beth Page Drive?
[3544.76s -> 3547.76s]  Thank you.
[3548.76s -> 3552.76s]  So I'm not going to spend a lot of time repeating what's already been said.
[3552.76s -> 3557.76s]  I concur with a lot of it. I don't.
[3557.76s -> 3564.76s]  I want to point out a few things as the board of finance goes into their meeting to decide where the cuts may or may not come from.
[3564.76s -> 3566.76s]  Should they go down that road?
[3566.76s -> 3572.76s]  I am vehemently against any cuts that make the class size go up.
[3573.76s -> 3577.76s]  And the last four years I have seen it.
[3577.76s -> 3579.76s]  And I also see how much.
[3579.76s -> 3590.76s]  It affects children with the bigger class sizes as well as the teachers.
[3590.76s -> 3595.76s]  So I really hope that that's an area that can be left alone.
[3595.76s -> 3598.76s]  And I also just wanted to.
[3598.76s -> 3600.76s]  this as much time as possible.
[3600.76s -> 3603.36s]  I don't think that we should be pressuring our board
[3603.36s -> 3606.88s]  of finance to kind of build Roman a day here
[3606.88s -> 3607.72s]  with one meeting.
[3607.72s -> 3610.56s]  It's an awful lot to decide.
[3610.56s -> 3612.24s]  I don't know if that's already been discussed
[3612.24s -> 3613.44s]  that there'll be several meetings.
[3613.44s -> 3618.12s]  It may very well have been, but I think this needs a pause.
[3618.12s -> 3618.88s]  It needs time.
[3618.88s -> 3621.12s]  Everybody is exhausted.
[3621.12s -> 3624.00s]  Everybody is upside down emotionally, socially.
[3624.00s -> 3627.16s]  We've got all sorts of similar and different stressors
[3627.16s -> 3628.88s]  going on.
[3628.88s -> 3631.68s]  And I don't think it would be good for anybody
[3631.68s -> 3634.52s]  to rush into a decision.
[3634.52s -> 3640.40s]  And I also had told Matt, Nickerbocker, directly today,
[3640.40s -> 3644.36s]  I would like to see as much effort given as possible
[3644.36s -> 3647.52s]  to have enough time and place so that residents
[3647.52s -> 3648.68s]  have the right to vote.
[3648.68s -> 3653.04s]  I do not think that this should be decided upon without
[3653.04s -> 3655.24s]  there being a really, really, really serious reason
[3655.24s -> 3659.48s]  to have to go faster if it means that residents won't
[3659.48s -> 3661.20s]  get the opportunity to vote.
[3661.20s -> 3665.48s]  And yeah, I think that's it.
[3665.48s -> 3668.08s]  I'm very concerned about the class size, so though,
[3668.08s -> 3672.72s]  I definitely think, and I'm sorry, one more thing.
[3672.72s -> 3674.80s]  Mrs. Salerno is absolutely going to need help
[3674.80s -> 3675.60s]  at Johnson School.
[3675.60s -> 3680.16s]  That is not, I can tell you just from living it,
[3680.16s -> 3684.92s]  she's got a full load, and we have an entire school
[3684.92s -> 3687.16s]  grade coming into her building.
[3687.16s -> 3688.48s]  She's absolutely going to need help.
[3688.48s -> 3692.44s]  I don't pretend to know the answers on finding the funding
[3692.44s -> 3695.56s]  in an easy way, but that's a definite.
[3695.56s -> 3697.36s]  She's going to need some help.
[3697.36s -> 3699.68s]  So that'll do it.
[3699.68s -> 3700.16s]  Thank you.
[3703.16s -> 3704.32s]  OK.
[3704.32s -> 3705.52s]  Nicole Cruz.
[3708.64s -> 3710.16s]  Hi.
[3710.16s -> 3710.64s]  Nicole.
[3710.64s -> 3715.52s]  Hi, I'm Nidale.
[3715.52s -> 3719.24s]  I need for you to give me your address, please.
[3719.24s -> 3719.64s]  Sure.
[3719.64s -> 3722.80s]  My address is 1-4-4 Rockwell Road.
[3722.80s -> 3724.76s]  Thank you.
[3724.76s -> 3726.88s]  And I'm here just as a member of the community
[3726.88s -> 3730.72s]  and a mom with two parents in Bethel School,
[3730.72s -> 3736.04s]  so middle school and at Barry School.
[3736.04s -> 3738.96s]  We moved here to Bethel just four years ago,
[3738.96s -> 3741.48s]  and one of the main reasons why we came to Bethel
[3741.48s -> 3745.16s]  was because of the education system and the schools here.
[3745.16s -> 3747.72s]  And while I am extremely sympathetic
[3747.72s -> 3752.24s]  to the town's increase in costs due to COVID,
[3752.24s -> 3753.36s]  we're affected with it here.
[3753.36s -> 3756.48s]  My husband is not working.
[3756.48s -> 3758.20s]  I'm extremely sympathetic to that,
[3758.20s -> 3761.00s]  but in the same sense, my children here
[3761.00s -> 3763.56s]  need be aid at the schools.
[3763.56s -> 3765.24s]  Matt Nickabacher said it best when he said
[3765.24s -> 3766.96s]  this town is growing, and it is growing.
[3766.96s -> 3768.72s]  There are tons of younger families
[3768.72s -> 3771.08s]  with children moving into this town.
[3771.08s -> 3773.00s]  So the schools are becoming more populated,
[3773.00s -> 3775.68s]  and the teachers are having larger class sizes,
[3775.68s -> 3777.36s]  and there are a lot more children,
[3777.36s -> 3779.60s]  particularly in the younger schools,
[3779.60s -> 3783.16s]  that I notice a require one-on-one powers
[3783.16s -> 3785.96s]  and have IEPs and 504s, and we need the help
[3785.96s -> 3787.40s]  and our budget can't take the cuts,
[3787.40s -> 3791.32s]  because then we can't afford the appropriate staff
[3791.32s -> 3795.92s]  for these students who need these special services.
[3795.92s -> 3798.84s]  And we're constantly losing really good teachers
[3798.84s -> 3802.24s]  to neighboring communities who can afford to pay
[3802.24s -> 3804.56s]  their teachers what they deserve.
[3804.56s -> 3808.92s]  So just very quickly in support of leaving our budget
[3808.92s -> 3812.72s]  or the school budget alone, as is at the very least,
[3812.72s -> 3816.92s]  and keeping it kind of status quo, our kids need it.
[3816.92s -> 3821.68s]  Bethel does Bethel schools already do so much with so little,
[3821.68s -> 3824.84s]  and forcing them to take any additional cuts
[3824.84s -> 3828.08s]  really puts our kids' education,
[3828.08s -> 3830.20s]  a jeopardy here, and I don't think it's fair.
[3833.08s -> 3835.68s]  Okay, thank you, Nicole.
[3835.68s -> 3837.44s]  Thank you, Nicole, to you and your son.
[3839.56s -> 3842.60s]  All right, so next we have Karen Foster.
[3847.40s -> 3848.24s]  There we go.
[3851.60s -> 3852.44s]  Karen?
[3853.44s -> 3855.44s]  All right, can you hear me now?
[3855.44s -> 3857.44s]  Yes, Karen, what's your answer?
[3857.44s -> 3861.44s]  My address is nine, Burnham Wood Road.
[3861.44s -> 3863.44s]  I heard an earlier comment,
[3863.44s -> 3865.44s]  I think it was in one of the letters
[3865.44s -> 3867.44s]  about potentially cutting theater and music
[3867.44s -> 3869.44s]  to make up for other areas.
[3869.44s -> 3871.44s]  I just want to speak out against that,
[3871.44s -> 3875.44s]  because every kid in high school needs to find a place
[3875.44s -> 3877.44s]  and for a lot of kids.
[3877.44s -> 3880.44s]  Music and theater is a place.
[3881.44s -> 3883.44s]  So anyway, Bethel just won an award,
[3883.44s -> 3885.44s]  and you may have seen it on Facebook.
[3885.44s -> 3889.44s]  We were voted one of the 754 best communities
[3889.44s -> 3891.44s]  for music education in the country,
[3891.44s -> 3892.44s]  and that's a pretty big deal.
[3892.44s -> 3895.44s]  These are for communities
[3895.44s -> 3898.44s]  where recognition is outstanding efforts
[3898.44s -> 3900.44s]  by teachers and administrators, parents, students,
[3900.44s -> 3902.44s]  community leaders, hoping music education
[3902.44s -> 3904.44s]  is part of a well-rounded education,
[3904.44s -> 3905.44s]  and I just want to make sure
[3905.44s -> 3907.44s]  that we can continue to live up to that.
[3907.44s -> 3909.44s]  Music education, the theater program
[3909.44s -> 3911.44s]  is all very important to the kids,
[3911.44s -> 3914.44s]  and it deserves such attention as other areas.
[3914.44s -> 3916.44s]  I think that the music department is doing excellent jobs
[3916.44s -> 3917.44s]  with distance learning.
[3917.44s -> 3919.44s]  You may have seen the virtual choir concert
[3919.44s -> 3921.44s]  that was posted by Ms. Vanolo.
[3921.44s -> 3923.44s]  It was on several of the Facebook groups.
[3923.44s -> 3924.44s]  We haven't seen it.
[3924.44s -> 3925.44s]  Go to the Bethel Music Department page
[3925.44s -> 3926.44s]  and look that up.
[3926.44s -> 3927.44s]  It was amazing.
[3927.44s -> 3929.44s]  The music education
[3929.44s -> 3930.44s]  are continuing.
[3930.44s -> 3931.44s]  The kids are working.
[3931.44s -> 3933.44s]  I just want to speak out for keeping that
[3933.44s -> 3935.44s]  and recognize how important that is
[3935.44s -> 3937.44s]  and that Bethel has been given several awards
[3937.44s -> 3938.44s]  over the years for their music education.
[3938.44s -> 3940.44s]  I'd like to keep that standard up.
[3940.44s -> 3941.44s]  Thank you.
[3941.44s -> 3943.44s]  Thank you.
[3943.44s -> 3944.44s]  Thanks, Karen.
[3944.44s -> 3945.44s]  Okay.
[3945.44s -> 3949.44s]  Next, we have Rachel Karam.
[3949.44s -> 3952.44s]  Hi.
[3952.44s -> 3953.44s]  Rachel.
[3953.44s -> 3954.44s]  Hello.
[3954.44s -> 3955.44s]  Hi.
[3955.44s -> 3958.44s]  So, Rachel is your last name,
[3958.44s -> 3960.44s]  Karam C-A-R-A-M?
[3960.44s -> 3961.44s]  Yes.
[3961.44s -> 3962.44s]  Okay.
[3962.44s -> 3963.44s]  And your address.
[3963.44s -> 3965.44s]  149 Old Tullyville Road.
[3965.44s -> 3966.44s]  All right.
[3966.44s -> 3967.44s]  Thank you.
[3967.44s -> 3968.44s]  Thank you.
[3968.44s -> 3971.44s]  I just want to say that I'm speaking not only
[3971.44s -> 3973.44s]  as the Secretary of Johnson School,
[3973.44s -> 3976.44s]  but also as a mother of two children
[3976.44s -> 3979.44s]  in the Bethel Public Schools.
