[0.00s -> 2.00s]  wau, m'hoj.
[2460.36s -> 2481.36s]  And we've also taken a very conservative view of our leases of our leases ability to pass etc no activity out of the hotel really for the balance of this calendar year so very very conservative but realistic modelling.
[2481.36s -> 2504.36s]  Fortunately we have a major land sale that is unconditional and very extremely good family significant family multinational business that have agreed to further provide a letter of credit to the airport company which gives me confidence to to build the road so to speak so.
[2504.36s -> 2528.36s]  That delivers about two and a half million dollars of of margin of free cash flow into the group early next year so the reality is that we can get through this year and through the June 21 almost a slightly positive cash position the balance sheets taken a bit of a hit and Scott will take you through that but.
[2528.36s -> 2544.36s]  And also we have some work going on on central precinct and again we have the ability hopefully to settle some unconditional land sales with the same degree of confidence around further charities which will also feed some additional cash into the group.
[2545.36s -> 2561.36s]  We've only utilised about 65% of our of our debt funding and in fact we have further facilities that we were intending to take any way pre COVID and we will still take which will take our funding up to about 30 million.
[2561.36s -> 2589.36s]  And then we will have only utilised not much more than 50% of that by June next year so most of the cash burn is funded out of out of our overdraft during this period and then the land sales kick back in and we're back in positive space being said very supportive and no issues there around funding.
[2590.36s -> 2592.36s]  Next slide please.
[2594.36s -> 2611.36s]  So we have joined with Hamilton City and and I have spoken to Gary diet and others around the obviously the crown infrastructure projects we have put forward two applications if you've had a chance to to review.
[2612.36s -> 2631.36s]  The submission she would be aware there are 23 projects we have submitted for the terminal redevelopment and also for an amalgam of a number of projects around the airport that deal with roading lateral infrastructure, our wastewater plant.
[2631.36s -> 2660.36s]  And various other aspect that again is also worth about 11 million dollars so we have put those in whether we're successful who knows that under the terminal redevelopment project we're ready to go tenders have been received and being evaluated the week of lockdown our consent is in with what and with your council at the moment and that's well there was well underway.
[2661.36s -> 2671.36s]  We project we could be out of the ground and doing enabling works within a month of a funding line.
[2671.36s -> 2682.36s]  The key for myself and the board will be what are the tags that the government apply if we are successful to the funding mechanism how much of it is.
[2682.36s -> 2692.36s]  The loan is a grant etc that's underway and that's part of our recovery program so if we go to the next slide.
[2693.36s -> 2710.36s]  It's been important as we work through really the devastation of the past three or four weeks to make sure that we still keep our eye on the longer term for the group and our focus over the next 12 months.
[2710.36s -> 2723.36s]  I won't spend any detailed time here other than to let you know that we have a clear set of a clear business plan and a clear set of objectives for FY 21.
[2723.36s -> 2744.36s]  Most of those remain in place we are reviewing them currently as a management team but we are trying to make sure that we continue property is a major contributor and as you can see there potentially to shy 8 million dollars in land sales in this next 12 month period.
[2745.36s -> 2765.36s]  Operations we continue to maintain the runway fortunately in our 10 year asset management plan we have a very quiet we just spent close to a million dollars finishing in March of this year on some apron works and some pumps some other bits and pieces.
[2765.36s -> 2780.36s]  But we have a very quiet couple of expenditure for error nautical over the next 12 to 18 months which couldn't have come at a better time but we maintain the assets and you need to know that we that we will.
[2780.36s -> 2794.36s]  When it comes to we'll be working very closely with the New Zealand to try and obviously kickstart services again and so our whole marketing and social media and common strategy.
[2794.36s -> 2823.36s]  The common strategy will be around exactly that a hotel is a much more difficult beast as you would have gained from Jason's presentation but look we we are working now closely with jet park to understand what a what a plan coming out the other side may look like fortunately it's a hotel that wasn't reliant on international tourism but it is reliant.
[2823.36s -> 2852.36s]  So that is reliant on conferencing in particular and we yet to understand the behavior of the business community as we go forward in this new world so we have just almost spending close to 4 million on the hotel just prior to lockdown so it is it's a it's a property that we're going to have to maintain in the meantime and fund.
[2852.36s -> 2867.36s]  And our conservative modeling does does mean that the group can fund its interests in the hotel semi for the next 18 months with limited activity from it.
[2867.36s -> 2896.36s]  And if we move now into the next slide which is probably the financial certain couple of slides here on on sort of financials and all its scots leading now my our overarching comment here would be you had a lot of detail in the six month interim results so we decided there was no point in replicating information you will have read so Scott will summarize it here and more importantly take you out the other side over the next couple of years.
[2896.36s -> 2924.36s]  Alright good afternoon everyone and thanks Matt for the introduction yeah I went to I'll too much on the past because it's unfortunately to become largely irrelevant but I guess just some key takeaways from the slide and what you may have read already an interim report but it's really that they maintain we've built the past couple of years around a sustainable so recurring revenue based through passenger growth in the airport business through a property portfolio that it continued really well for the first half of the year.
[2924.36s -> 2930.36s]  And go obviously without covered 19 we speak to continue to the full year and beyond.
[2930.36s -> 2943.36s]  Yeah just some points from properly obviously talking some big numbers around land sales I guess that they are land sales that have been contemplated under a 10 year plan the land sales and the pipeline it's not something that we've done.
[2943.36s -> 2971.36s]  New York reaction or sort of a fire sale type arrangement just to get some cash for the next couple years these are the land we're selling is sort of surplus to your normal requirements in fact much of it's actually physically separate from the airport through a gully system so we're not compromising any core assets sort of future capability by selling this land very much is land it's service the airport so it's why it's being sold off time it has been.
[2971.36s -> 2980.36s]  Yeah just with the hotel obviously it is a new investment for us a new industry invested in really pleased with the early trading performance.
[2980.36s -> 2994.36s]  Yeah and probably pleasing that we didn't other than the initial money to do the property up the tenders and deferred maintenance and things it's actually traded cash flow positive has no it's been profitable with appreciation and things but.
[2994.36s -> 3020.36s]  That we're actually able to repay some debt and you know that it's the early vital signs and occupancy and room rate have been been certainly in lump expectation and again kind of right up until February March it was really just coming to a stride around the conference center and the food beverage offerings so yeah I think you know it was you know it was looking really positive and hopefully on the other side that's your momentum we can we can leverage off again so.
[3020.36s -> 3025.36s]  Probably just look look to the future now just move to the next slide.
[3025.36s -> 3039.36s]  Please so given here just sort of in six month increments the remainder of the financial year also the financial year that we're in and then the following three that are presented in the draft statement of a ten year received.
[3039.36s -> 3049.36s]  I think important to focus on a bit because that sort of cash flow metric for us that includes land sales but it excludes of course costs like depreciation which.
[3049.36s -> 3070.36s]  It's around three million dollars a year for us which in the short term it's not necessarily linear with the investment we make into assets so seeing obviously seeing a reasonably significant decline in the next in this calendar year with across the business certainly going to suffer.
[3070.36s -> 3082.36s]  So as we see in the sort of early six months between December 20 and June next year that's effective this large land sale taking effect and then as the business kind of gets back on its feet.
[3082.36s -> 3091.36s]  You can see it's slowly back to cash flow positive so I guess you want to compare the red the red in the blue the blue bars and red line and the green line is sort of where we're going to head now.
[3091.36s -> 3098.36s]  You can see it differently the next sort of 15 to 18 months is going to be a bit painful but after that.
[3098.36s -> 3115.36s]  Very much back on our feet and not becoming heavily reliant on land sales certainly out past the next 18 months so we've only seen what's already under contract and what some condition will settle in those numbers so I think that's the conservative but realistic and conservative on both fronts.
[3116.36s -> 3127.36s]  Certainly the cost we're looking to remove out of the business and anything that's going to compromise us long term we're not giving out capability but either we've built or we've managed to hang onto it for as long as we have.
[3127.36s -> 3144.36s]  I think it's some yeah definitely conservative and look at things don't play out the way we see them doing and certainly not as positive as what I did is some opportunities if further but but now it's this sort of as realistic that we can preserve our current capability anyway.
[3144.36s -> 3158.36s]  Yeah I guess just overlay the net profit slide yeah there's a lot more probably that the difference it's a bigger largely because of the effect of depreciation but ultimately following a fairly similar trend to the cash flow that's.
[3158.36s -> 3170.36s]  Look land sales over the next 18 months will get us cash flow positive and we expect by the end of the business to be largely cash flow positive from it's recurring trading to be sustainable.
[3170.36s -> 3195.36s]  And yeah that's probably I guess the main takeaway there and it's not really built into the slides but just it's not talked about the fact on the balance sheet look we expect that there will be some impact so a balance sheet round property values most of the equity movements so it was a shareholder that obviously will impact your accounts as well but I guess out of this is a shareholder in a non financial sense.
[3195.36s -> 3208.36s]  Out of all this we're preserving our capability and we're not compromising any about your notical capability and I think yeah in terms of what the service will keep delivering that shouldn't be compromised or at least our ability to tell it.
[3208.36s -> 3214.36s]  That was really well I had just the other financials so it might be perfect to wrap up.
[3214.36s -> 3237.36s]  I think this is the last slide my apologies we've taken a bit of your time but look I think the key themes here really as I opened up we we we hit this situation in a very strong position and in a very strong balance sheet a record here.
[3237.36s -> 3261.36s]  The full side of the diversification through our 10 year group strategy has I think really bought this company time perhaps unlike some other regional airports that I think will need to go to their shareholders very quickly for additional funding or through their through their bank funding lines we don't need to
[3261.36s -> 3286.36s]  that non revenue has been absolutely critical to and in fact ironically we never predicted a COVID 19 scenario but we did predict a loss of aeronautical income through cessation of services or reduced services so has been one of the same.
[3286.36s -> 3312.36s]  Overall the recovery as Scott has mentioned will be modest but sustainable and as I want to keep restating we won't need to go to our core debt at this stage or funding lines to fund this we can fund it out of the effect the working capital.
[3312.36s -> 3339.36s]  And most importantly I think for you as the shareholders there is no requirement for the board to come to it shareholders for support and we don't see a scenario at all that that requires the shareholders to assist the airport company in the foreseeable future so that's it from me sorry and I apologize we're over time but happy to take questions if you've got time.
[3339.36s -> 3358.36s]  No thanks guys I think we were aware that a bit of extra time was going to be required for you guys with such a massive impact I just got a quick question about the flight school when would they not get back to level one or possibly could be operated level two.
[3358.36s -> 3387.36s]  Well in fact Scotts just had some advice today could will be that the pilots that that are well through their qualification will be able to start flying under level three so as soon as next week we could see some flight activity but it will be to your point Andrew down at level one probably will be the social distancing issues when you have an instructor and a trainee pilot on board so I think we're still around clear and so are all three.
[3388.36s -> 3410.36s]  I think it's worth noting that we don't quite know where we're going to go with L3 in the sense that they've got 180 pilots currently at the airport in Hamilton or out of the accommodation at the airport.
[3410.36s -> 3439.36s]  They will find they're fine for the next few months for question is how whether they're going to be the logistics of moving pilots across borders for training and actually pilots there is not a death of pilots in the global marketplace as a result of the catastrophe for the airlines so I think those two would suggest to us that we've got difficult times ahead past the end of 2020 with L3.
[3439.36s -> 3466.36s]  Yeah that makes sense yeah I think it's as you've both noted the stage that you're at with your property development has been a very fortunate thing if this had occurred at the beginning of that it would have been far more financially destructive but does anyone else have any queries
[3467.36s -> 3484.36s]  Okay that's not in case luck thank you very much a really comprehensive update and great to see you recovered from the shock and being really positive and constructive going forward so thanks very much to you both.
[3484.36s -> 3487.36s]  Thank you.
[3487.36s -> 3488.36s]  Thank you.
[3488.36s -> 3494.36s]  And I see we have Kelvin.
[3494.36s -> 3498.36s]  Sorry what was that.
[3498.36s -> 3502.36s]  Okay so we got Kelvin and also is Peter available.
[3502.36s -> 3503.36s]  Yes I am.
[3503.36s -> 3514.36s]  Oh great so thanks Kelvin and Peter and will let you get on to the shared services.
[3514.36s -> 3527.36s]  Thanks Mr Chairman and thanks for the opportunity to speak with you this afternoon you've been provided with a copy of the company statement of intent and half yearly report to 31 December 2019.
[3527.36s -> 3543.36s]  I'm conscious of the fact this is the first opportunity I've had as the newest chair of the last to talk to you so I wanted to start by just briefly introducing myself and then I wanted to talk a little bit about the company's transformation role.
[3543.36s -> 3566.36s]  How are we going to do things differently what it means for your council and then I want to conclude with some remarks about COVID-19 but I guess the key point is that certainly from the board of last is perspective the organisation has never been more relevant than it will be in a post COVID-19 recovery period.
[3566.36s -> 3579.36s]  So the first point I wanted to make is that my family has been heavily invested in the Waikato for a very long time my mother's family came to this region in 1865.
[3579.36s -> 3591.36s]  My father's family came to this region in 1880s and all my family live in the region my mum lives in Hauraki district my sister lives in terms Coromandel I have another system in Hamilton.
[3591.36s -> 3608.36s]  I live in Auckland district and after 44 years and Janaya leaving Auckland next week and moving to Cambridge so we very much look forward to becoming why by district council rate piers us from first of May.
[3608.36s -> 3615.36s]  So as you can see my family's been heavily invested in the success of the region and it's one of the reasons I took the job.
[3615.36s -> 3626.36s]  Another reason is the clarity of the opportunity and I've spent 21 years in local government governance across multiple CCOs and clarity of role is actually quite unusual.
[3626.36s -> 3643.36s]  In this case the company's vision is to have Waikato councils working together in the best way possible for the collective benefit of their man their communities which means less burden on rate piers happier communities and council staff and more effective councils.
[3643.36s -> 3650.36s]  So as we've set out in our statement of intent the organization really exists to do three things.
[3650.36s -> 3665.36s]  First of all to create effectiveness and efficiency gains for shareholders such as you secondly to help increase the influence of the region and thirdly to help shareholders provide a better customer experience.
[3665.36s -> 3678.36s]  What less does is provide an opportunity to think regionally without boundaries and to then help councils use that thing locally to improve the well being of the community.
[3678.36s -> 3694.36s]  So thinking regionally means that rather than individual councils trying to solve their problems individually less can help them work them out with the cost of that spread while still allowing local choices to whether to implement solutions locally.
[3695.36s -> 3711.36s]  I think that it's fair to say my observation would be that over the years of its existence the organization's done a good job but I think one of the reasons that I've been hired is that there was an opportunity seen to be able to really grasp the company's potential.
[3711.36s -> 3717.36s]  So when I was hired the board said that it wanted to undertake a number of transformative projects at place.
[3717.36s -> 3725.36s]  And for that reason we are going to and are driving the organization harder and faster.
[3725.36s -> 3739.36s]  And earlier this year the board committed to do just that we are looking to be bolder more disruptive to enable you to help you transform how you and other Waikato councils operate.
[3739.36s -> 3749.36s]  We also won't be afraid of failing and by that I mean recognizing the opportunities worth pursuing as long as we do it fast.
[3749.36s -> 3759.36s]  Coming from the private sector having spent 35 years in the private sector my observation would be that there's nothing wrong with failure so long as you fail fast and fail cheap.
[3759.36s -> 3767.36s]  So within that in mind and looking ahead over the next 18 months there are really three core elements to what we're doing.
[3767.36s -> 3775.36s]  There are some key strategic projects which we'll be looking to advance as fast as possible and you'll see those projects in the statement of intent.
[3775.36s -> 3788.36s]  There are some businesses usual projects and in addition I've asked for a re examination of some of the work that we're doing to see whether we should stop doing it.
[3788.36s -> 3796.36s]  As you'll appreciate it's it's really fundamental to perceptions of success of an organization that they seem to be making progress month by month.
[3796.36s -> 3809.36s]  So one of the things we've done is introduced a lot more careful tracking about what it is that we're doing and whether we're being successful and we're looking to improve the communications to key council staff as well.
[3809.36s -> 3821.36s]  I said to my board colleagues and you'll be aware I'm sure that the that everyone sits around the last board with the exception of me is a chief executive of one of the member councils.
[3821.36s -> 3826.36s]  I've said to my board colleagues that they are really the difference between less succeeding and failing that.
[3826.36s -> 3834.36s]  And the reason for that is that they are the ones who will dictate the resourcing and prioritization and cooperation, which is according to less projects.
[3834.36s -> 3846.36s]  And I made the point pretty clearly that without their total commitment, the organization will fail, but equally their success lesser success will be their success and vice versa.
[3846.36s -> 3852.36s]  And now to what it means for your council think three things.
[3852.36s -> 3864.36s]  First of all, you should consider this organization as an extension of your vision of building the future together to promote the well being of why part district and its people.
[3864.36s -> 3871.36s]  We both got a role to play in providing solutions to the high growth region of the wake up tour.
[3871.36s -> 3877.36s]  We both recognize the need to do more with less to drive cost out of local councils.
[3877.36s -> 3889.36s]  We both want to ensure that nationally the wake up tour region punches above its weight by showing that the region can provide can provide joined up services across the region.
[3889.36s -> 3893.36s]  We both want to improve the well bearing of the community.
[3893.36s -> 3896.36s]  Indeed, it's in your vision.
[3896.36s -> 3900.36s]  Secondly, as an organization, as I've said before, we're not limited by boundaries.
[3900.36s -> 3905.36s]  We're tasked with thinking regionally to enable you to act better locally.
[3905.36s -> 3917.36s]  And I think the opportunities to work with you and your companion councils to achieve your aspirations are boundless regardless and possibly even more because of COVID-19.
[3917.36s -> 3922.36s]  Thirdly, obviously by necessity, we need resource to achieve our outcomes.
[3922.36s -> 3933.36s]  And you'll see that some of the initiatives that we've proposed in the statement of intent will require some upfront investment in order to achieve some mid to long term savings.
[3933.36s -> 3936.36s]  Now, I said I would finish with a few words on coronavirus.
[3936.36s -> 3946.36s]  It won't surprise you to know that as a board, we've discussed very early on whether we should make any substantive changes to our work program to reflect what will be a new reality.
[3947.36s -> 3955.36s]  What we concluded, indeed, was that in fact, we should keep doing what we're doing because it's going to be even more important.
[3955.36s -> 3960.36s]  Moreover, it's going to help rebuild the region and increase resilience.
[3960.36s -> 3968.36s]  Our view is that in a post COVID-19 period during the recovery period, there'll be need in the region for at least the following three things.
[3968.36s -> 3980.36s]  First, security of public works to enable the private sector to plan long range, and I think importantly commit to training and for their staff to commit the stay in the region.
[3980.36s -> 3990.36s]  Secondly, a demonstration of restraint by public bodies on what might be perceived as non-essential spending, in other words, doing more with less.
[3990.36s -> 3996.36s]  And thirdly, motivation and encouragement and development of current council staff.
[3996.36s -> 4003.36s]  I'm planning to deliver all of those already through our work program has set out on the statement of intend.
[4003.36s -> 4006.36s]  So thank you for the opportunity to talk to you.
[4006.36s -> 4016.36s]  I obviously wish that I could have spoken with you in person, but no doubt that opportunity will arise sometime shortly in the future.
[4016.36s -> 4025.36s]  Kelvin and I are more than happy to take any questions, Mr Chair, but I wondered, Kelvin, if there is any additional points that you wanted to make.
[4026.36s -> 4030.36s]  All right, well covered Peter, thank you.
[4030.36s -> 4033.36s]  Okay, thanks very much for that.
[4033.36s -> 4051.36s]  Yeah, as you mentioned, the less has been active in there, in there, well, between our councils for a number of years now and been very successful, particularly with Rata, the road and accord.
[4052.36s -> 4057.36s]  What's happening now is an absolute step change.
[4057.36s -> 4066.36s]  And I totally agree with what you said about it being more important post COVID rather than less.
[4066.36s -> 4070.36s]  So yeah, I wish we were success of course.
[4070.36s -> 4073.36s]  Now questions, I think.
[4073.36s -> 4075.36s]  Claire, yes.
[4075.36s -> 4078.36s]  Yeah, yeah, thanks Andrew.
[4078.36s -> 4084.36s]  And great to meet you via Zoom, you know, and it's good to see you too, Kelvin.
[4084.36s -> 4091.36s]  I did see through some questions, but I'm two, two, um, ones that I'd just like to ask in this forum.
[4091.36s -> 4101.36s]  The first one is that, you know, you've made a strong case for continuing how you're going at the moment, you know, that all those things that you're focusing on
[4101.36s -> 4107.36s]  will be more important than ever when we're dealing in the post COVID era, I guess.
[4107.36s -> 4120.36s]  But a lot of the things that are done rely on the, I suppose, the goodwill of councils and releasing resources from their business to work on less stuff.
[4120.36s -> 4133.36s]  I can foresee that councils are actually going to be pretty hard pressed with their own, own staffing resources dealing with, you know, extra things that have come out of the woodwork to do with COVID-19.
[4133.36s -> 4146.36s]  And so what assurance can you give us that you won't sort of find yourself high and dry that you can't get the sort of resource that you do need, you know, from the individual councils that have normally been really supportive.
[4146.36s -> 4153.36s]  Because, you know, you start just completely committed, you know, to this other work.
[4153.36s -> 4159.36s]  Kelvin, would you mind if I answered that question first? And then, sure, maybe there's a few additional points you want to make.
[4159.36s -> 4163.36s]  I think Councillor, thank you. That's a great question.
[4163.36s -> 4169.36s]  The good news is we had, I'm happy to say, thought of that as well.
[4169.36s -> 4193.36s]  One of the earliest things that we did well before lockdown was, when we could see this thing coming, was to reach out to councils to ask them to think about whether in the context of any redeployment of assets and people that they were doing, whether they were going to be some people that might in fact be freed up to be able to work on some of our projects to make them go faster.
[4193.36s -> 4206.36s]  And I was pleasantly surprised, particularly from some of the smaller councils to be honest, about the positive response that we got in terms of offering up staff.
[4206.36s -> 4224.36s]  That's the first point. The second point is that more specifically, Kelvin's been in touch with the chief executives of all of the councils, I think, is recently as yesterday, Kelvin, where we've set out some specific skill sets that we're looking for in order to be able to advance some of our strategic projects.
[4224.36s -> 4241.36s]  As I say, a great question. Surprisingly, positive response from the councils that we've reached out to, but you're absolutely right. The resourcing issue may even flow over time and it's something we're acutely conscious of.
[4241.36s -> 4244.36s]  Kelvin, did you have any points to add?
[4244.36s -> 4249.36s]  I think that sort of covers it all off pager, to be honest.
[4249.36s -> 4253.36s]  Well, that's really encouraging actually.
[4253.36s -> 4257.36s]  It's good to get, excuse me, it's good to get that clarification. That's great.
[4257.36s -> 4263.36s]  Now the question I had was about the energy and carbon management that's mentioned in the SIO.
[4263.36s -> 4272.36s]  I wasn't sure whether that is the carbon audit that our council is sort of before the last election.
[4272.36s -> 4283.36s]  That was one of the directions that we gave staff that we wanted to get something organised and that which would help us, I suppose, formulate a plan for climate change and that.
[4283.36s -> 4292.36s]  Is the energy management that's mentioned that that less does? Is that feeding into that audit or not?
[4292.36s -> 4301.36s]  So the shorter answer is Councillor, no, it's well, it's certainly not the audit that you're referring to.
[4301.36s -> 4321.36s]  I don't see any particular reason why the people that we use to, that we engage to provide that support to councils could not help with that audit if that was something that the white part executive team were interested in doing.
[4321.36s -> 4328.36s]  But actually, probably to the particular, the status of the particular piece of work that you're referring to.
[4328.36s -> 4337.36s]  I know that Martin Lunch who's one of the guys that tends to work with white part district council has been doing some.
[4337.36s -> 4345.36s]  The spoke work in this area, but I'm not sure whether it specifically relates to that report that you're referring to.
[4345.36s -> 4351.36s]  Okay, oh well, thanks for the clarification.
[4351.36s -> 4355.36s]  Okay, any more questions?
[4355.36s -> 4359.36s]  No, okay, well, hey, thank you very much for that presentation.
[4359.36s -> 4368.36s]  And yeah, particularly now in a period of significant change, that's really great to see the positivity.
[4368.36s -> 4376.36s]  Going forward even in with the with the weird wheel we have around a certain moment. So yeah, thanks Peter Kelvin very much.
[4376.36s -> 4379.36s]  Thank you very much, Mr Chair.
[4379.36s -> 4387.36s]  And I see Andrew Michael is available and we'll talk to us about the LGFA.
[4387.36s -> 4389.36s]  Thank you for the opportunity.
[4389.36s -> 4397.36s]  Maybe make a few brief comments and then touch on the current environment and then leave some time for full questions.
[4397.36s -> 4408.36s]  So LGFA started in 2012 that currently has 67 member councils with a number of others in the process of joining.
[4408.36s -> 4414.36s]  And the current environment is probably just, you know, even for the councils that don't have any debt.
[4414.36s -> 4424.36s]  They realize that, you know, having access to finances importance, it's sort of probably speeding up, you know, their their time table for joining.
[4424.36s -> 4429.36s]  LGFA is based on similar models in the Scandinavian countries.
[4429.36s -> 4434.36s]  The longest of those is in Denmark that's been going for 130 years now.
[4434.36s -> 4443.36s]  So what LGFA wants is to be a very long term provider of financing to the local authority sector.
[4443.36s -> 4453.36s]  The objectives are interest savings on councils debt to provide a range of borrowing options, so short term and longer term financing.
[4453.36s -> 4458.36s]  And probably the most important one is access to deck markets.
[4458.36s -> 4465.36s]  And that's been the area that's perhaps been the most challenging thing over the past couple of months.
[4465.36s -> 4478.36s]  In terms of the financials, the profit for the year to join 2020, which was forecast to be 10 million is on track.
[4478.36s -> 4488.36s]  So we've been running the part numbers for April, yesterday, and again, the monthly profit is on track.
[4488.36s -> 4496.36s]  A lot of the forecasting that's in the draft SOI is just out of date. It's just been superseded by the events that we've seen the last few months.
[4496.36s -> 4503.36s]  But that said, just remember that LGFA has 10 billion dollars of lending to the sector.
[4503.36s -> 4508.36s]  So we borrow from investors and on land at every time we do, we take a small margin.
[4509.36s -> 4516.36s]  So the profit really on all that lending is locked in until those loans mature.
[4516.36s -> 4527.36s]  So even though they may well be some variability in profit, a lot of it is locked in.
[4527.36s -> 4532.36s]  And that said, the profitability probably shouldn't be your primary concern.
[4532.36s -> 4541.36s]  It is where councils get the savings is the savings on their interest costs and certainty around accessing of finance.
[4541.36s -> 4545.36s]  So that's probably the key thing.
[4545.36s -> 4554.36s]  The current environment interest rates low. So maybe that's one little bit of good use for councils.
[4554.36s -> 4561.36s]  The interest rates, councils like yourself can borrow below 1% now.
[4561.36s -> 4571.36s]  Long term, we just completed a $1 billion debt issue just over a week ago.
[4571.36s -> 4576.36s]  So we borrowed for six years and we borrowed at 1.46% for a billion dollars.
[4576.36s -> 4583.36s]  So we will add on 20 points to councils or 25 points to wipe our offenders.
[4583.36s -> 4592.36s]  So you'd be accessing longer term money, six year money at around 1.7% just to give you some idea of a borrowing cost.
[4592.36s -> 4598.36s]  So that's one bit of good news.
[4598.36s -> 4604.36s]  Probably two or three weeks ago, we were receiving record borrowing requests from councils.
[4604.36s -> 4613.36s]  There was a lot of councils knowing that maybe, you know, fee income is dropping and they needed to get more money into to cover that.
[4613.36s -> 4620.36s]  So we've never had a much, we've had a higher amount of borrowing costs.
[4620.36s -> 4626.36s]  So that was the first non-government entity.
[4626.36s -> 4636.36s]  Well, entity other than the government to issue in New Zealand since the level 4 lockdown was imposed.
[4636.36s -> 4639.36s]  For a while, investors were very reluctant to invest.
[4639.36s -> 4645.36s]  It's just, you know, they're worried even if we buy it, we won't be able to sell things.
[4645.36s -> 4649.36s]  But we had a risk of version that we had two developments.
[4649.36s -> 4659.36s]  One was LGFA have a $1 billion standby facility from the New Zealand government that expires next year.
[4659.36s -> 4669.36s]  But the Minister of Finance provided a letter to LGFA saying that the government would roll that over for a further period of time.
[4669.36s -> 4693.36s]  So the second thing that occurred is that the Reserve Bank announced that they were going to buy back government bonds, a subsequent to that they added LGFA to the listed securities that they're able to buy.
[4693.36s -> 4700.36s]  They're able to buy back up to $3 billion of LGFA bonds from investors.
[4700.36s -> 4709.36s]  And it was that that really gave the confidence to investors that if we buy them, there's actually going to be another huge buyer in the market for that.
[4709.36s -> 4719.36s]  So again, you know, the level of support that we're getting from the government has been extremely important.
[4719.36s -> 4729.36s]  There's going to be significant challenges for councils, particularly in the 2021 sort of financial year.
[4729.36s -> 4738.36s]  Part of the working group that DIA are running, looking at doing a lot of modeling on council financial performance.
[4738.36s -> 4749.36s]  This, well, for the remainder of this year and next year and that's feeding into a lot of the other governments of the workstream, such as the recovery sort of workstream.
[4749.36s -> 4760.36s]  So there's some quite sobering reading coming out of that for why you're probably well positioned in terms of your debt levels.
[4760.36s -> 4769.36s]  You're not high relative to some of the other higher growth councils in New Zealand.
[4769.36s -> 4783.36s]  So yeah, there are a lot of challenges and that's probably one of the challenges for us is that potentially we're going to get breaches of the financial governance in the next financial year, not this financial year.
[4783.36s -> 4800.36s]  That would never had a breach of any of the financial governance, but if revenue falls significantly for councils with a large amount of debt to start with, then they could well breach that net debt to revenue governance.
[4800.36s -> 4803.36s]  So that's something we'll have to deal with.
[4803.36s -> 4822.36s]  But for those growth councils, you know, one of the last tools they've really got is, you know, having to cut their caps and again, that's not particularly conducive to starting growth in the economy and is working against a little bit of what the government wants to achieve.
[4822.36s -> 4833.36s]  So I just like to, you know, we appreciate that there's no compulsion for councils to use LGFA, you're still free to borrow from any other sources that you want.
[4833.36s -> 4850.36s]  So I just like to acknowledge our Ken and this team because why part was one of the yearly supporters of LGFA, we very much value your support of us and, you know, the professional relationship that we have.
[4850.36s -> 4879.36s]  I think you almost goes without saying, but I'll say it anyway LGFA is another great contributor to the local government, seeing generally and certainly, I guess why part hasn't used your services that greatly we certainly intend to in the future, possibly even more with COVID possibly not we don't know yet.
[4880.36s -> 4896.36s]  Yeah, that's true, we don't know, but yeah, but very confident by that one point seven percent number major, that's, yeah, that is, that is very well priced borrowing ability.
[4897.36s -> 4904.36s]  I like the one that was below one percent even better, but yeah, short to possibly isn't us that much.
[4904.36s -> 4909.36s]  No, thanks Andrew, does anyone else have any questions.
[4909.36s -> 4913.36s]  Bruce, and then clear.
[4913.36s -> 4918.36s]  You're still muted Bruce.
[4918.36s -> 4922.36s]  Press the space bar.
[4922.36s -> 4925.36s]  There we go.
[4925.36s -> 4928.36s]  You need to keep pressing it, mate.
[4928.36s -> 4934.36s]  Okay, I'm learning, I've changed machines one doesn't work so once in the bin soon.
[4934.36s -> 4943.36s]  And we just don't pay 33 share capital. I know wife has got 200,000 shares at that point four percent, just a simple one.
[4943.36s -> 4947.36s]  More district have got double ours, but a 9.9 of a percent.
[4947.36s -> 4951.36s]  Did you explain that.
[4951.36s -> 4963.36s]  Yes, the share holding is just something sort of historical so when LGFA was started at needed 25 million of equity.
[4963.36s -> 4970.36s]  So there was, I think, 9 or 10 councils that were the initial subscribers and then they.
[4970.36s -> 4978.36s]  Ensold some of the issues to a second group of councils that came in as shareholders.
[4978.36s -> 4986.36s]  So LGFA pay a small dividend to councils on their shareholder.
[4986.36s -> 4993.36s]  That is 2% over cost of funds, but our cost of funds might only be like 1.5% at the moment.
[4993.36s -> 5001.36s]  So on 100,000 dollars of shares, you're only going to be getting right the three or 4,000 dollar dividend.
[5001.36s -> 5005.36s]  So that is really not material.
[5005.36s -> 5009.36s]  So the level of equity you have is really not that important.
[5009.36s -> 5021.36s]  It is the savings that you get on your borrowing costs that are going to be the big, you know, drivers of why, you know, council should be members of LGFA.
[5021.36s -> 5028.36s]  So it really doesn't give you a lot of advantage over, you know, a council that is a non shareholder.
[5028.36s -> 5032.36s]  Again, they're still getting the same borrowing benefits that you are.
[5032.36s -> 5039.36s]  It's just simply a fact we needed some councils to put in some equity to get the thing off of the ground.
[5039.36s -> 5043.36s]  So again, you know, we're grateful for the councils that did that.
[5043.36s -> 5052.36s]  I think you're interested in doubling the figure and then being in ordinary terms and thinking, well, how did you get to that? So no, thank you.
[5052.36s -> 5055.36s]  So just work it out for your Bruce.
[5055.36s -> 5057.36s]  It's a rounding thing.
[5057.36s -> 5061.36s]  It's actually we've actually got 0.444 of a percent.
